category_value,category,locationdesc,location,year,avg_data_value
Adult,Age Group,Alaska,AK,2016,41
Male,Gender,Alaska,AK,2016,41
Black,Race,Alaska,AK,2016,28
White,Race,Alaska,AK,2016,14
AINA,Race,Alaska,AK,2016,0
Asian,Race,Alaska,AK,2016,0
Juvenile,Age Group,Alaska,AK,2016,0
Female,Gender,Alaska,AK,2016,0
NHOPI,Race,Alaska,AK,2016,0
Female,Gender,Alaska,AK,2015,0
Asian,Race,Alaska,AK,2015,0
Adult,Age Group,Alaska,AK,2015,0
Black,Race,Alaska,AK,2015,0
NHOPI,Race,Alaska,AK,2015,0
Male,Gender,Alaska,AK,2015,0
AINA,Race,Alaska,AK,2015,0
White,Race,Alaska,AK,2015,0
Hispanic,Ethnicity,Alaska,AK,2015,0
Not Hispanic,Ethnicity,Alaska,AK,2015,0
Juvenile,Age Group,Alaska,AK,2015,0
Not Hispanic,Ethnicity,Arkansas,AR,2018,4
Black,Race,Arkansas,AR,2018,4
Adult,Age Group,Arkansas,AR,2018,4
Female,Gender,Arkansas,AR,2018,4
Male,Gender,Arkansas,AR,2018,0
Hispanic,Ethnicity,Arkansas,AR,2018,0
Asian,Race,Arkansas,AR,2018,0
NHOPI,Race,Arkansas,AR,2018,0
Juvenile,Age Group,Arkansas,AR,2018,0
White,Race,Arkansas,AR,2018,0
AINA,Race,Arkansas,AR,2018,0
Male,Gender,Arkansas,AR,2016,4
Not Hispanic,Ethnicity,Arkansas,AR,2016,4
Black,Race,Arkansas,AR,2016,4
Adult,Age Group,Arkansas,AR,2016,4
Female,Gender,Arkansas,AR,2016,0
Juvenile,Age Group,Arkansas,AR,2016,0
NHOPI,Race,Arkansas,AR,2016,0
White,Race,Arkansas,AR,2016,0
AINA,Race,Arkansas,AR,2016,0
Hispanic,Ethnicity,Arkansas,AR,2016,0
Asian,Race,Arkansas,AR,2016,0
Not Hispanic,Ethnicity,Arkansas,AR,2015,0
Juvenile,Age Group,Arkansas,AR,2015,0
Asian,Race,Arkansas,AR,2015,0
Black,Race,Arkansas,AR,2015,0
Hispanic,Ethnicity,Arkansas,AR,2015,0
White,Race,Arkansas,AR,2015,0
Adult,Age Group,Arkansas,AR,2015,0
NHOPI,Race,Arkansas,AR,2015,0
Female,Gender,Arkansas,AR,2015,0
Male,Gender,Arkansas,AR,2015,0
AINA,Race,Arkansas,AR,2015,0
Male,Gender,Arizona,AZ,2019,2
Adult,Age Group,Arizona,AZ,2019,2
Hispanic,Ethnicity,Arizona,AZ,2019,2
Female,Gender,Arizona,AZ,2019,0
Juvenile,Age Group,Arizona,AZ,2019,0
Not Hispanic,Ethnicity,Arizona,AZ,2019,0
Adult,Age Group,Arizona,AZ,2018,363
Not Hispanic,Ethnicity,Arizona,AZ,2018,281
Female,Gender,Arizona,AZ,2018,267
White,Race,Arizona,AZ,2018,182
Black,Race,Arizona,AZ,2018,179
Male,Gender,Arizona,AZ,2018,98
Hispanic,Ethnicity,Arizona,AZ,2018,84
AINA,Race,Arizona,AZ,2018,3
Asian,Race,Arizona,AZ,2018,2
Juvenile,Age Group,Arizona,AZ,2018,2
NHOPI,Race,Arizona,AZ,2018,0
Adult,Age Group,Arizona,AZ,2017,257
Not Hispanic,Ethnicity,Arizona,AZ,2017,192
White,Race,Arizona,AZ,2017,184
Male,Gender,Arizona,AZ,2017,174
Female,Gender,Arizona,AZ,2017,83
Black,Race,Arizona,AZ,2017,66
Hispanic,Ethnicity,Arizona,AZ,2017,65
Asian,Race,Arizona,AZ,2017,6
AINA,Race,Arizona,AZ,2017,2
Juvenile,Age Group,Arizona,AZ,2017,0
NHOPI,Race,Arizona,AZ,2017,0
Adult,Age Group,Arizona,AZ,2016,47
White,Race,Arizona,AZ,2016,29
Male,Gender,Arizona,AZ,2016,28
Not Hispanic,Ethnicity,Arizona,AZ,2016,25
Hispanic,Ethnicity,Arizona,AZ,2016,22
Female,Gender,Arizona,AZ,2016,20
Black,Race,Arizona,AZ,2016,18
Asian,Race,Arizona,AZ,2016,0
Juvenile,Age Group,Arizona,AZ,2016,0
AINA,Race,Arizona,AZ,2016,0
NHOPI,Race,Arizona,AZ,2016,0
Black,Race,Arizona,AZ,2015,0
Asian,Race,Arizona,AZ,2015,0
AINA,Race,Arizona,AZ,2015,0
White,Race,Arizona,AZ,2015,0
Adult,Age Group,Arizona,AZ,2015,0
Not Hispanic,Ethnicity,Arizona,AZ,2015,0
Female,Gender,Arizona,AZ,2015,0
Juvenile,Age Group,Arizona,AZ,2015,0
NHOPI,Race,Arizona,AZ,2015,0
Male,Gender,Arizona,AZ,2015,0
Hispanic,Ethnicity,Arizona,AZ,2015,0
Male,Gender,Arizona,AZ,2014,5
Adult,Age Group,Arizona,AZ,2014,5
Not Hispanic,Ethnicity,Arizona,AZ,2014,5
White,Race,Arizona,AZ,2014,3
Black,Race,Arizona,AZ,2014,2
NHOPI,Race,Arizona,AZ,2014,0
Juvenile,Age Group,Arizona,AZ,2014,0
AINA,Race,Arizona,AZ,2014,0
Female,Gender,Arizona,AZ,2014,0
Hispanic,Ethnicity,Arizona,AZ,2014,0
Asian,Race,Arizona,AZ,2014,0
AINA,Race,California,CA,2016,1
Male,Gender,California,CA,2016,1
Adult,Age Group,California,CA,2016,1
Not Hispanic,Ethnicity,California,CA,2016,1
NHOPI,Race,California,CA,2016,0
White,Race,California,CA,2016,0
Asian,Race,California,CA,2016,0
Female,Gender,California,CA,2016,0
Juvenile,Age Group,California,CA,2016,0
Hispanic,Ethnicity,California,CA,2016,0
Black,Race,California,CA,2016,0
Asian,Race,Colorado,CO,2019,2
Adult,Age Group,Colorado,CO,2019,2
Not Hispanic,Ethnicity,Colorado,CO,2019,2
Female,Gender,Colorado,CO,2019,2
White,Race,Colorado,CO,2019,0
Male,Gender,Colorado,CO,2019,0
Hispanic,Ethnicity,Colorado,CO,2019,0
Black,Race,Colorado,CO,2019,0
AINA,Race,Colorado,CO,2019,0
Juvenile,Age Group,Colorado,CO,2019,0
NHOPI,Race,Colorado,CO,2019,0
Adult,Age Group,Colorado,CO,2018,7
Male,Gender,Colorado,CO,2018,7
Not Hispanic,Ethnicity,Colorado,CO,2018,6
Black,Race,Colorado,CO,2018,4
AINA,Race,Colorado,CO,2018,2
White,Race,Colorado,CO,2018,2
Juvenile,Age Group,Colorado,CO,2018,0
Female,Gender,Colorado,CO,2018,0
Hispanic,Ethnicity,Colorado,CO,2018,0
NHOPI,Race,Colorado,CO,2018,0
Asian,Race,Colorado,CO,2018,0
Adult,Age Group,Colorado,CO,2017,8
White,Race,Colorado,CO,2017,6
Male,Gender,Colorado,CO,2017,6
Not Hispanic,Ethnicity,Colorado,CO,2017,4
Hispanic,Ethnicity,Colorado,CO,2017,4
Black,Race,Colorado,CO,2017,2
Female,Gender,Colorado,CO,2017,2
Asian,Race,Colorado,CO,2017,0
AINA,Race,Colorado,CO,2017,0
NHOPI,Race,Colorado,CO,2017,0
Juvenile,Age Group,Colorado,CO,2017,0
Adult,Age Group,Colorado,CO,2016,6
Not Hispanic,Ethnicity,Colorado,CO,2016,4
Male,Gender,Colorado,CO,2016,4
AINA,Race,Colorado,CO,2016,2
Hispanic,Ethnicity,Colorado,CO,2016,2
White,Race,Colorado,CO,2016,2
Female,Gender,Colorado,CO,2016,2
Black,Race,Colorado,CO,2016,2
Asian,Race,Colorado,CO,2016,0
Juvenile,Age Group,Colorado,CO,2016,0
NHOPI,Race,Colorado,CO,2016,0
Adult,Age Group,Colorado,CO,2015,6
Male,Gender,Colorado,CO,2015,6
White,Race,Colorado,CO,2015,4
Not Hispanic,Ethnicity,Colorado,CO,2015,4
Hispanic,Ethnicity,Colorado,CO,2015,2
Black,Race,Colorado,CO,2015,2
Juvenile,Age Group,Colorado,CO,2015,0
AINA,Race,Colorado,CO,2015,0
Female,Gender,Colorado,CO,2015,0
Asian,Race,Colorado,CO,2015,0
NHOPI,Race,Colorado,CO,2015,0
Male,Gender,Connecticut,CT,2019,6
Adult,Age Group,Connecticut,CT,2019,6
Hispanic,Ethnicity,Connecticut,CT,2019,3
White,Race,Connecticut,CT,2019,3
Black,Race,Connecticut,CT,2019,3
Asian,Race,Connecticut,CT,2019,0
Juvenile,Age Group,Connecticut,CT,2019,0
NHOPI,Race,Connecticut,CT,2019,0
AINA,Race,Connecticut,CT,2019,0
Female,Gender,Connecticut,CT,2019,0
Not Hispanic,Ethnicity,Connecticut,CT,2019,0
Not Hispanic,Ethnicity,Connecticut,CT,2018,6
Male,Gender,Connecticut,CT,2018,6
Adult,Age Group,Connecticut,CT,2018,6
White,Race,Connecticut,CT,2018,6
Asian,Race,Connecticut,CT,2018,0
Hispanic,Ethnicity,Connecticut,CT,2018,0
NHOPI,Race,Connecticut,CT,2018,0
Juvenile,Age Group,Connecticut,CT,2018,0
Black,Race,Connecticut,CT,2018,0
AINA,Race,Connecticut,CT,2018,0
Female,Gender,Connecticut,CT,2018,0
Adult,Age Group,Connecticut,CT,2017,14
Male,Gender,Connecticut,CT,2017,14
White,Race,Connecticut,CT,2017,12
Not Hispanic,Ethnicity,Connecticut,CT,2017,12
Black,Race,Connecticut,CT,2017,3
Asian,Race,Connecticut,CT,2017,0
Hispanic,Ethnicity,Connecticut,CT,2017,0
NHOPI,Race,Connecticut,CT,2017,0
Juvenile,Age Group,Connecticut,CT,2017,0
AINA,Race,Connecticut,CT,2017,0
Female,Gender,Connecticut,CT,2017,0
Adult,Age Group,Connecticut,CT,2016,40
Not Hispanic,Ethnicity,Connecticut,CT,2016,40
Male,Gender,Connecticut,CT,2016,28
White,Race,Connecticut,CT,2016,20
Female,Gender,Connecticut,CT,2016,12
Black,Race,Connecticut,CT,2016,12
Asian,Race,Connecticut,CT,2016,9
Hispanic,Ethnicity,Connecticut,CT,2016,0
NHOPI,Race,Connecticut,CT,2016,0
Juvenile,Age Group,Connecticut,CT,2016,0
AINA,Race,Connecticut,CT,2016,0
Adult,Age Group,Delaware,DE,2019,11
Black,Race,Delaware,DE,2019,11
Not Hispanic,Ethnicity,Delaware,DE,2019,11
Male,Gender,Delaware,DE,2019,11
AINA,Race,Delaware,DE,2019,0
White,Race,Delaware,DE,2019,0
Female,Gender,Delaware,DE,2019,0
Hispanic,Ethnicity,Delaware,DE,2019,0
Juvenile,Age Group,Delaware,DE,2019,0
NHOPI,Race,Delaware,DE,2019,0
Asian,Race,Delaware,DE,2019,0
Adult,Age Group,Delaware,DE,2017,11
White,Race,Delaware,DE,2017,11
Male,Gender,Delaware,DE,2017,11
Hispanic,Ethnicity,Delaware,DE,2017,11
Female,Gender,Delaware,DE,2017,0
Juvenile,Age Group,Delaware,DE,2017,0
Black,Race,Delaware,DE,2017,0
NHOPI,Race,Delaware,DE,2017,0
Asian,Race,Delaware,DE,2017,0
AINA,Race,Delaware,DE,2017,0
Not Hispanic,Ethnicity,Delaware,DE,2017,0
Adult,Age Group,Georgia,GA,2019,6
White,Race,Georgia,GA,2019,5
Male,Gender,Georgia,GA,2019,5
Not Hispanic,Ethnicity,Georgia,GA,2019,5
Female,Gender,Georgia,GA,2019,1
Black,Race,Georgia,GA,2019,1
Asian,Race,Georgia,GA,2019,0
Hispanic,Ethnicity,Georgia,GA,2019,0
Juvenile,Age Group,Georgia,GA,2019,0
NHOPI,Race,Georgia,GA,2019,0
AINA,Race,Georgia,GA,2019,0
Adult,Age Group,Hawaii,HI,2019,7
Hispanic,Ethnicity,Hawaii,HI,2019,7
Male,Gender,Hawaii,HI,2019,7
Juvenile,Age Group,Hawaii,HI,2019,0
Not Hispanic,Ethnicity,Hawaii,HI,2019,0
Female,Gender,Hawaii,HI,2019,0
Adult,Age Group,Hawaii,HI,2017,15
White,Race,Hawaii,HI,2017,7
Asian,Race,Hawaii,HI,2017,7
Female,Gender,Hawaii,HI,2017,7
Male,Gender,Hawaii,HI,2017,7
Juvenile,Age Group,Hawaii,HI,2017,0
NHOPI,Race,Hawaii,HI,2017,0
AINA,Race,Hawaii,HI,2017,0
Black,Race,Hawaii,HI,2017,0
Adult,Age Group,Hawaii,HI,2015,7
White,Race,Hawaii,HI,2015,7
Male,Gender,Hawaii,HI,2015,7
Juvenile,Age Group,Hawaii,HI,2015,0
Asian,Race,Hawaii,HI,2015,0
AINA,Race,Hawaii,HI,2015,0
Black,Race,Hawaii,HI,2015,0
Female,Gender,Hawaii,HI,2015,0
NHOPI,Race,Hawaii,HI,2015,0
Black,Race,Illinois,IL,2017,1
Male,Gender,Illinois,IL,2017,1
Not Hispanic,Ethnicity,Illinois,IL,2017,1
Adult,Age Group,Illinois,IL,2017,1
AINA,Race,Illinois,IL,2017,0
NHOPI,Race,Illinois,IL,2017,0
Asian,Race,Illinois,IL,2017,0
White,Race,Illinois,IL,2017,0
Female,Gender,Illinois,IL,2017,0
Juvenile,Age Group,Illinois,IL,2017,0
Hispanic,Ethnicity,Illinois,IL,2017,0
White,Race,Indiana,IN,2019,8
Not Hispanic,Ethnicity,Indiana,IN,2019,7
Male,Gender,Indiana,IN,2019,6
Juvenile,Age Group,Indiana,IN,2019,5
Adult,Age Group,Indiana,IN,2019,2
Hispanic,Ethnicity,Indiana,IN,2019,0
NHOPI,Race,Indiana,IN,2019,0
AINA,Race,Indiana,IN,2019,0
Black,Race,Indiana,IN,2019,0
Asian,Race,Indiana,IN,2019,0
Female,Gender,Indiana,IN,2019,0
White,Race,Indiana,IN,2018,5
Not Hispanic,Ethnicity,Indiana,IN,2018,5
Juvenile,Age Group,Indiana,IN,2018,5
Female,Gender,Indiana,IN,2018,3
Male,Gender,Indiana,IN,2018,2
Asian,Race,Indiana,IN,2018,0
AINA,Race,Indiana,IN,2018,0
NHOPI,Race,Indiana,IN,2018,0
Adult,Age Group,Indiana,IN,2018,0
Black,Race,Indiana,IN,2018,0
Hispanic,Ethnicity,Indiana,IN,2018,0
Black,Race,Indiana,IN,2016,3
Male,Gender,Indiana,IN,2016,3
Adult,Age Group,Indiana,IN,2016,3
Not Hispanic,Ethnicity,Indiana,IN,2016,3
Hispanic,Ethnicity,Indiana,IN,2016,0
White,Race,Indiana,IN,2016,0
AINA,Race,Indiana,IN,2016,0
Female,Gender,Indiana,IN,2016,0
Juvenile,Age Group,Indiana,IN,2016,0
NHOPI,Race,Indiana,IN,2016,0
Asian,Race,Indiana,IN,2016,0
Juvenile,Age Group,Indiana,IN,2015,5
White,Race,Indiana,IN,2015,5
Female,Gender,Indiana,IN,2015,4
Male,Gender,Indiana,IN,2015,2
Black,Race,Indiana,IN,2015,0
Not Hispanic,Ethnicity,Indiana,IN,2015,0
NHOPI,Race,Indiana,IN,2015,0
Asian,Race,Indiana,IN,2015,0
Hispanic,Ethnicity,Indiana,IN,2015,0
Adult,Age Group,Indiana,IN,2015,0
AINA,Race,Indiana,IN,2015,0
Not Hispanic,Ethnicity,Indiana,IN,2014,139
White,Race,Indiana,IN,2014,125
Adult,Age Group,Indiana,IN,2014,116
Male,Gender,Indiana,IN,2014,94
Female,Gender,Indiana,IN,2014,63
Juvenile,Age Group,Indiana,IN,2014,41
Black,Race,Indiana,IN,2014,23
Asian,Race,Indiana,IN,2014,7
NHOPI,Race,Indiana,IN,2014,2
AINA,Race,Indiana,IN,2014,0
Hispanic,Ethnicity,Indiana,IN,2014,0
White,Race,Kentucky,KY,2019,3
Hispanic,Ethnicity,Kentucky,KY,2019,3
Male,Gender,Kentucky,KY,2019,3
Adult,Age Group,Kentucky,KY,2019,3
Female,Gender,Kentucky,KY,2019,0
Not Hispanic,Ethnicity,Kentucky,KY,2019,0
Juvenile,Age Group,Kentucky,KY,2019,0
Black,Race,Kentucky,KY,2019,0
NHOPI,Race,Kentucky,KY,2019,0
AINA,Race,Kentucky,KY,2019,0
Asian,Race,Kentucky,KY,2019,0
Adult,Age Group,Kentucky,KY,2018,5
Not Hispanic,Ethnicity,Kentucky,KY,2018,5
White,Race,Kentucky,KY,2018,5
Male,Gender,Kentucky,KY,2018,3
Female,Gender,Kentucky,KY,2018,3
Juvenile,Age Group,Kentucky,KY,2018,0
Asian,Race,Kentucky,KY,2018,0
AINA,Race,Kentucky,KY,2018,0
Hispanic,Ethnicity,Kentucky,KY,2018,0
Black,Race,Kentucky,KY,2018,0
NHOPI,Race,Kentucky,KY,2018,0
Male,Gender,Kentucky,KY,2017,3
Not Hispanic,Ethnicity,Kentucky,KY,2017,3
White,Race,Kentucky,KY,2017,3
Adult,Age Group,Kentucky,KY,2017,3
Female,Gender,Kentucky,KY,2017,0
AINA,Race,Kentucky,KY,2017,0
Black,Race,Kentucky,KY,2017,0
Asian,Race,Kentucky,KY,2017,0
Hispanic,Ethnicity,Kentucky,KY,2017,0
NHOPI,Race,Kentucky,KY,2017,0
Juvenile,Age Group,Kentucky,KY,2017,0
Adult,Age Group,Louisiana,LA,2019,20
Male,Gender,Louisiana,LA,2019,18
White,Race,Louisiana,LA,2019,12
Black,Race,Louisiana,LA,2019,12
Female,Gender,Louisiana,LA,2019,6
Juvenile,Age Group,Louisiana,LA,2019,3
AINA,Race,Louisiana,LA,2019,0
NHOPI,Race,Louisiana,LA,2019,0
Asian,Race,Louisiana,LA,2019,0
Adult,Age Group,Louisiana,LA,2018,25
Male,Gender,Louisiana,LA,2018,14
White,Race,Louisiana,LA,2018,14
Female,Gender,Louisiana,LA,2018,12
Black,Race,Louisiana,LA,2018,11
AINA,Race,Louisiana,LA,2018,0
Asian,Race,Louisiana,LA,2018,0
Juvenile,Age Group,Louisiana,LA,2018,0
NHOPI,Race,Louisiana,LA,2018,0
Adult,Age Group,Louisiana,LA,2017,128
Male,Gender,Louisiana,LA,2017,86
Black,Race,Louisiana,LA,2017,78
White,Race,Louisiana,LA,2017,59
Female,Gender,Louisiana,LA,2017,53
Juvenile,Age Group,Louisiana,LA,2017,11
AINA,Race,Louisiana,LA,2017,3
Asian,Race,Louisiana,LA,2017,0
NHOPI,Race,Louisiana,LA,2017,0
Adult,Age Group,Louisiana,LA,2016,35
Black,Race,Louisiana,LA,2016,22
Male,Gender,Louisiana,LA,2016,22
Female,Gender,Louisiana,LA,2016,14
White,Race,Louisiana,LA,2016,13
NHOPI,Race,Louisiana,LA,2016,0
Asian,Race,Louisiana,LA,2016,0
Juvenile,Age Group,Louisiana,LA,2016,0
AINA,Race,Louisiana,LA,2016,0
Black,Race,Louisiana,LA,2015,22
Juvenile,Age Group,Louisiana,LA,2015,18
Male,Gender,Louisiana,LA,2015,16
Female,Gender,Louisiana,LA,2015,13
Adult,Age Group,Louisiana,LA,2015,12
White,Race,Louisiana,LA,2015,7
NHOPI,Race,Louisiana,LA,2015,0
AINA,Race,Louisiana,LA,2015,0
Asian,Race,Louisiana,LA,2015,0
Adult,Age Group,Massachusetts,MA,2019,11
Male,Gender,Massachusetts,MA,2019,8
White,Race,Massachusetts,MA,2019,8
Female,Gender,Massachusetts,MA,2019,4
Black,Race,Massachusetts,MA,2019,2
Asian,Race,Massachusetts,MA,2019,2
AINA,Race,Massachusetts,MA,2019,0
NHOPI,Race,Massachusetts,MA,2019,0
Juvenile,Age Group,Massachusetts,MA,2019,0
Adult,Age Group,Massachusetts,MA,2018,9
Not Hispanic,Ethnicity,Massachusetts,MA,2018,9
Male,Gender,Massachusetts,MA,2018,6
Black,Race,Massachusetts,MA,2018,5
Asian,Race,Massachusetts,MA,2018,3
Female,Gender,Massachusetts,MA,2018,3
White,Race,Massachusetts,MA,2018,2
AINA,Race,Massachusetts,MA,2018,0
Juvenile,Age Group,Massachusetts,MA,2018,0
NHOPI,Race,Massachusetts,MA,2018,0
Hispanic,Ethnicity,Massachusetts,MA,2018,0
Adult,Age Group,Massachusetts,MA,2017,12
Not Hispanic,Ethnicity,Massachusetts,MA,2017,11
Male,Gender,Massachusetts,MA,2017,8
Black,Race,Massachusetts,MA,2017,8
Female,Gender,Massachusetts,MA,2017,5
White,Race,Massachusetts,MA,2017,3
Asian,Race,Massachusetts,MA,2017,2
Hispanic,Ethnicity,Massachusetts,MA,2017,2
NHOPI,Race,Massachusetts,MA,2017,0
Juvenile,Age Group,Massachusetts,MA,2017,0
AINA,Race,Massachusetts,MA,2017,0
Adult,Age Group,Massachusetts,MA,2016,3
Male,Gender,Massachusetts,MA,2016,3
White,Race,Massachusetts,MA,2016,2
Black,Race,Massachusetts,MA,2016,2
Female,Gender,Massachusetts,MA,2016,0
NHOPI,Race,Massachusetts,MA,2016,0
Juvenile,Age Group,Massachusetts,MA,2016,0
Asian,Race,Massachusetts,MA,2016,0
AINA,Race,Massachusetts,MA,2016,0
Not Hispanic,Ethnicity,Massachusetts,MA,2015,3
Male,Gender,Massachusetts,MA,2015,3
White,Race,Massachusetts,MA,2015,3
Adult,Age Group,Massachusetts,MA,2015,3
NHOPI,Race,Massachusetts,MA,2015,0
Juvenile,Age Group,Massachusetts,MA,2015,0
Asian,Race,Massachusetts,MA,2015,0
Hispanic,Ethnicity,Massachusetts,MA,2015,0
AINA,Race,Massachusetts,MA,2015,0
Black,Race,Massachusetts,MA,2015,0
Female,Gender,Massachusetts,MA,2015,0
Not Hispanic,Ethnicity,Maryland,MD,2019,21
Adult,Age Group,Maryland,MD,2019,21
Male,Gender,Maryland,MD,2019,19
Black,Race,Maryland,MD,2019,14
White,Race,Maryland,MD,2019,5
Asian,Race,Maryland,MD,2019,2
Female,Gender,Maryland,MD,2019,2
Hispanic,Ethnicity,Maryland,MD,2019,0
NHOPI,Race,Maryland,MD,2019,0
AINA,Race,Maryland,MD,2019,0
Juvenile,Age Group,Maryland,MD,2019,0
Adult,Age Group,Maryland,MD,2018,24
Not Hispanic,Ethnicity,Maryland,MD,2018,23
Male,Gender,Maryland,MD,2018,20
Black,Race,Maryland,MD,2018,19
White,Race,Maryland,MD,2018,6
Female,Gender,Maryland,MD,2018,5
Juvenile,Age Group,Maryland,MD,2018,2
Asian,Race,Maryland,MD,2018,2
Hispanic,Ethnicity,Maryland,MD,2018,2
AINA,Race,Maryland,MD,2018,0
NHOPI,Race,Maryland,MD,2018,0
Adult,Age Group,Maryland,MD,2017,57
Black,Race,Maryland,MD,2017,47
Not Hispanic,Ethnicity,Maryland,MD,2017,41
Male,Gender,Maryland,MD,2017,41
Female,Gender,Maryland,MD,2017,17
White,Race,Maryland,MD,2017,10
Juvenile,Age Group,Maryland,MD,2017,0
Hispanic,Ethnicity,Maryland,MD,2017,0
AINA,Race,Maryland,MD,2017,0
Asian,Race,Maryland,MD,2017,0
NHOPI,Race,Maryland,MD,2017,0
Not Hispanic,Ethnicity,Maryland,MD,2016,29
Adult,Age Group,Maryland,MD,2016,29
Male,Gender,Maryland,MD,2016,27
Black,Race,Maryland,MD,2016,21
White,Race,Maryland,MD,2016,5
Asian,Race,Maryland,MD,2016,4
Female,Gender,Maryland,MD,2016,2
AINA,Race,Maryland,MD,2016,0
Juvenile,Age Group,Maryland,MD,2016,0
Hispanic,Ethnicity,Maryland,MD,2016,0
NHOPI,Race,Maryland,MD,2016,0
Not Hispanic,Ethnicity,Maryland,MD,2015,39
Adult,Age Group,Maryland,MD,2015,29
Black,Race,Maryland,MD,2015,29
Male,Gender,Maryland,MD,2015,27
Female,Gender,Maryland,MD,2015,14
White,Race,Maryland,MD,2015,13
Juvenile,Age Group,Maryland,MD,2015,12
Hispanic,Ethnicity,Maryland,MD,2015,2
AINA,Race,Maryland,MD,2015,0
NHOPI,Race,Maryland,MD,2015,0
Asian,Race,Maryland,MD,2015,0
Adult,Age Group,Maine,ME,2018,31
AINA,Race,Maine,ME,2018,23
Male,Gender,Maine,ME,2018,16
Female,Gender,Maine,ME,2018,15
White,Race,Maine,ME,2018,8
Not Hispanic,Ethnicity,Maine,ME,2018,8
Asian,Race,Maine,ME,2018,0
NHOPI,Race,Maine,ME,2018,0
Black,Race,Maine,ME,2018,0
Hispanic,Ethnicity,Maine,ME,2018,0
Juvenile,Age Group,Maine,ME,2018,0
Adult,Age Group,Maine,ME,2017,8
White,Race,Maine,ME,2017,8
Female,Gender,Maine,ME,2017,8
Not Hispanic,Ethnicity,Maine,ME,2017,8
NHOPI,Race,Maine,ME,2017,0
Male,Gender,Maine,ME,2017,0
AINA,Race,Maine,ME,2017,0
Black,Race,Maine,ME,2017,0
Asian,Race,Maine,ME,2017,0
Hispanic,Ethnicity,Maine,ME,2017,0
Juvenile,Age Group,Maine,ME,2017,0
Adult,Age Group,Michigan,MI,2019,36
Male,Gender,Michigan,MI,2019,36
White,Race,Michigan,MI,2019,28
Black,Race,Michigan,MI,2019,7
Not Hispanic,Ethnicity,Michigan,MI,2019,1
Hispanic,Ethnicity,Michigan,MI,2019,1
Asian,Race,Michigan,MI,2019,0
Juvenile,Age Group,Michigan,MI,2019,0
AINA,Race,Michigan,MI,2019,0
NHOPI,Race,Michigan,MI,2019,0
Female,Gender,Michigan,MI,2019,0
Adult,Age Group,Michigan,MI,2018,3
Not Hispanic,Ethnicity,Michigan,MI,2018,3
Male,Gender,Michigan,MI,2018,2
Black,Race,Michigan,MI,2018,2
Female,Gender,Michigan,MI,2018,1
White,Race,Michigan,MI,2018,1
Asian,Race,Michigan,MI,2018,0
AINA,Race,Michigan,MI,2018,0
Juvenile,Age Group,Michigan,MI,2018,0
NHOPI,Race,Michigan,MI,2018,0
Hispanic,Ethnicity,Michigan,MI,2018,0
Black,Race,Michigan,MI,2016,1
Adult,Age Group,Michigan,MI,2016,1
Male,Gender,Michigan,MI,2016,1
NHOPI,Race,Michigan,MI,2016,0
White,Race,Michigan,MI,2016,0
Female,Gender,Michigan,MI,2016,0
Juvenile,Age Group,Michigan,MI,2016,0
AINA,Race,Michigan,MI,2016,0
Asian,Race,Michigan,MI,2016,0
AINA,Race,Michigan,MI,2015,0
Female,Gender,Michigan,MI,2015,0
Black,Race,Michigan,MI,2015,0
Adult,Age Group,Michigan,MI,2015,0
NHOPI,Race,Michigan,MI,2015,0
Juvenile,Age Group,Michigan,MI,2015,0
White,Race,Michigan,MI,2015,0
Hispanic,Ethnicity,Michigan,MI,2015,0
Asian,Race,Michigan,MI,2015,0
Male,Gender,Michigan,MI,2015,0
Not Hispanic,Ethnicity,Michigan,MI,2015,0
Adult,Age Group,Minnesota,MN,2019,213
Male,Gender,Minnesota,MN,2019,190
Not Hispanic,Ethnicity,Minnesota,MN,2019,153
White,Race,Minnesota,MN,2019,119
Black,Race,Minnesota,MN,2019,70
Hispanic,Ethnicity,Minnesota,MN,2019,62
Female,Gender,Minnesota,MN,2019,25
Asian,Race,Minnesota,MN,2019,22
AINA,Race,Minnesota,MN,2019,6
Juvenile,Age Group,Minnesota,MN,2019,2
NHOPI,Race,Minnesota,MN,2019,0
Adult,Age Group,Minnesota,MN,2018,178
Male,Gender,Minnesota,MN,2018,167
Not Hispanic,Ethnicity,Minnesota,MN,2018,149
White,Race,Minnesota,MN,2018,110
Black,Race,Minnesota,MN,2018,55
Hispanic,Ethnicity,Minnesota,MN,2018,31
Female,Gender,Minnesota,MN,2018,13
Asian,Race,Minnesota,MN,2018,9
AINA,Race,Minnesota,MN,2018,6
Juvenile,Age Group,Minnesota,MN,2018,2
NHOPI,Race,Minnesota,MN,2018,0
Adult,Age Group,Minnesota,MN,2017,269
Male,Gender,Minnesota,MN,2017,238
Not Hispanic,Ethnicity,Minnesota,MN,2017,214
White,Race,Minnesota,MN,2017,128
Black,Race,Minnesota,MN,2017,86
Hispanic,Ethnicity,Minnesota,MN,2017,55
Asian,Race,Minnesota,MN,2017,48
Female,Gender,Minnesota,MN,2017,32
AINA,Race,Minnesota,MN,2017,7
Juvenile,Age Group,Minnesota,MN,2017,2
NHOPI,Race,Minnesota,MN,2017,0
Adult,Age Group,Minnesota,MN,2016,366
Male,Gender,Minnesota,MN,2016,346
Not Hispanic,Ethnicity,Minnesota,MN,2016,291
White,Race,Minnesota,MN,2016,252
